,ID_NOTICE_CN,TED_NOTICE_URL,CAE_NAME,CAE_TOWN,CAE_POSTAL_CODE,CAE_TYPE,MAIN_ACTIVITY,TYPE_OF_CONTRACT,CPV,VALUE_EURO_FIN_1,DURATION,TAL_LOCATION_NUTS
25161,201827479,ted.europa.eu/udl?uri=TED:NOTICE:27479-2018:TEXT:EN:HTML,Navarra de Servicios y Tecnologías S.A.,Pamplona,31012,8,General public\services,S,50730000.0,315400.0,,
25164,201827482,ted.europa.eu/udl?uri=TED:NOTICE:27482-2018:TEXT:EN:HTML,"Corporación de Empresas Municipales de Sevilla, A.I.E.",Sevilla,41003,8,Other,S,60160000.0,,24.0,ES618
25166,201827484,ted.europa.eu/udl?uri=TED:NOTICE:27484-2018:TEXT:EN:HTML,Universidad de Vigo,Vigo,36310,6,"Education,General public\services",S,72611000.0,322500.0,24.0,ES114
25177,201827613,ted.europa.eu/udl?uri=TED:NOTICE:27613-2018:TEXT:EN:HTML,Empresa Municipal de Transportes de Madrid S.A.,Madrid,28007,4,"Urban railway, tramway, trolleybus or bus services",S,66110000.0,1641899.14,48.0,ES
25822,201828044,ted.europa.eu/udl?uri=TED:NOTICE:28044-2018:TEXT:EN:HTML,"Generalidad de Cataluña, Departamento de Territorio y Sostenibilidad",Barcelona,08029,3,Other,U,38344000.0,439000.0,,ES51
25848,201828053,ted.europa.eu/udl?uri=TED:NOTICE:28053-2018:TEXT:EN:HTML,Servicio Madrileño de Salud,Madrid,28020,3,Health,U,33600000.0,8352400.0,,ES30
25856,201828057,ted.europa.eu/udl?uri=TED:NOTICE:28057-2018:TEXT:EN:HTML,Dirección Económica del Centro de Transfusiones de la Comunidad Valenciana,Valencia,46014,3,Health,U,33000000.0,3168000.0,,ES523
25857,201828058,ted.europa.eu/udl?uri=TED:NOTICE:28058-2018:TEXT:EN:HTML,"Comunidad de Madrid. Consejería de Medio Ambiente, Administración Local y Ordenación del Territorio",Madrid,28014,3,Environment,U,33696500.0,668466.75,,ES3
25878,201828059,ted.europa.eu/udl?uri=TED:NOTICE:28059-2018:TEXT:EN:HTML,Hospital Clínic de Barcelona,Barcelona,08036,6,Health,U,33184400.0,594840.0,,ES511
25879,201828060,ted.europa.eu/udl?uri=TED:NOTICE:28060-2018:TEXT:EN:HTML,Gerencia Regional de Salud de Castilla y León,Valladolid,47071,3,Health,U,48218000.0,3766500.0,,ES41
25880,201828061,ted.europa.eu/udl?uri=TED:NOTICE:28061-2018:TEXT:EN:HTML,Dirección General — Osakidetza-Servicio Vasco de Salud,Vitoria-Gasteiz,01006,8,Health,U,22212000.0,627000.0,,ES211
37472,201828591,ted.europa.eu/udl?uri=TED:NOTICE:28591-2018:TEXT:EN:HTML,Tesorería General de la Seguridad Social,Madrid,28007,1,General public\services,S,79710000.0,2575650.0,,ES300
37484,201828602,ted.europa.eu/udl?uri=TED:NOTICE:28602-2018:TEXT:EN:HTML,Agència de l&apos;Habitatge de Catalunya,Barcelona,08015,6,Housing and community amenities,S,50531100.0,3210084.0,,ES51
