,ID_NOTICE_CN,TED_NOTICE_URL,CAE_NAME,CAE_TOWN,CAE_POSTAL_CODE,CAE_TYPE,MAIN_ACTIVITY,TYPE_OF_CONTRACT,CPV,VALUE_EURO_FIN_1,DURATION,TAL_LOCATION_NUTS
29,201865,ted.europa.eu/udl?uri=TED:NOTICE:65-2018:TEXT:EN:HTML,Ayuntamiento de Barcelona,Barcelona,08018,3,General public\services,W,45112100.0,3288261.39,,ES511
624,2018169,ted.europa.eu/udl?uri=TED:NOTICE:169-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Utrera,Utrera,41710,3,General public\services,U,44190000.0,348538.4,,ES618
1055,2018174,ted.europa.eu/udl?uri=TED:NOTICE:174-2018:TEXT:EN:HTML,Gerencia de Gestión Integrada de Vigo,Vigo,36211,3,Health,U,33141200.0,471052.8,,ES114
1279,2018201,ted.europa.eu/udl?uri=TED:NOTICE:201-2018:TEXT:EN:HTML,Excmo. Ayuntamiento de Dos Hermanas,Dos Hermanas,41701,3,General public\services,U,34928471.0,991350.0,,ES618
1471,2018234,ted.europa.eu/udl?uri=TED:NOTICE:234-2018:TEXT:EN:HTML,Consorci Mar Parc de Salut de Barcelona,Barcelona,08003,3,Health,U,48800000.0,710000.0,,ES511
1472,2018235,ted.europa.eu/udl?uri=TED:NOTICE:235-2018:TEXT:EN:HTML,Consorci Mar Parc de Salut de Barcelona,Barcelona,08003,3,Health,U,33696800.0,1609056.0,,ES511
1754,2018413,ted.europa.eu/udl?uri=TED:NOTICE:413-2018:TEXT:EN:HTML,Consorcio del Centro de Cultura Contemporánea de Barcelona---Consorcio del Parque Natural de la Sierra de Collserola---Diputación de Barcelona / Subdirección de Logística---Instituto del Teatro---Organismo de Gestión Tributaria,Barcelona---Barcelona---Barcelona---Barcelona---Barcelona,08001---08017---08036---08004---08028,3,General public\services,S,64110000.0,5944231.87,,ES511
1757,2018416,ted.europa.eu/udl?uri=TED:NOTICE:416-2018:TEXT:EN:HTML,Dirección General de Carreteras,Madrid,28071,1,General public\services,S,71520000.0,717858.37,,ES300
1759,2018418,ted.europa.eu/udl?uri=TED:NOTICE:418-2018:TEXT:EN:HTML,Departamento de Interior,Barcelona,08009,3,Public Order and Safety,S,50700000.0,1502400.0,,ES511
1772,2018424,ted.europa.eu/udl?uri=TED:NOTICE:424-2018:TEXT:EN:HTML,Axencia para a Modernización Tecnolóxica de Galicia — Xunta de Galicia,Santiago de Compostela,15781,3,General public\services,S,72100000.0,2544720.0,,ES11
1775,2018426,ted.europa.eu/udl?uri=TED:NOTICE:426-2018:TEXT:EN:HTML,Secretaría de Estado de Servicios Sociales e Igualdad,Madrid,28014,1,Social protection,S,79512000.0,1865700.71,,ES300
1781,2018432,ted.europa.eu/udl?uri=TED:NOTICE:432-2018:TEXT:EN:HTML,Gerencia de Gestión Integrada de Vigo,Vigo,36211,3,Health,S,90911200.0,284640.0,,ES114
1789,2018438,ted.europa.eu/udl?uri=TED:NOTICE:438-2018:TEXT:EN:HTML,Dirección General de Carreteras,Madrid,28071,1,General public\services,S,71311000.0,124831.0,,ES300
1803,2018442,ted.europa.eu/udl?uri=TED:NOTICE:442-2018:TEXT:EN:HTML,Dirección General de Carreteras,Madrid,28071,1,General public\services,S,71311000.0,422688.0,,ES300
1805,2018444,ted.europa.eu/udl?uri=TED:NOTICE:444-2018:TEXT:EN:HTML,Dirección General de Carreteras,Madrid,28071,1,General public\services,S,50230000.0,16704125.92,,ES300
1806,2018445,ted.europa.eu/udl?uri=TED:NOTICE:445-2018:TEXT:EN:HTML,Dirección General de Carreteras,Madrid,28071,1,General public\services,S,50230000.0,11867827.88,,ES300
1888,2018483,ted.europa.eu/udl?uri=TED:NOTICE:483-2018:TEXT:EN:HTML,Dirección General de Carreteras,Madrid,28071,1,General public\services,S,50230000.0,14993867.64,,ES300
1889,2018484,ted.europa.eu/udl?uri=TED:NOTICE:484-2018:TEXT:EN:HTML,Dirección General de Carreteras,Madrid,28071,1,General public\services,S,50230000.0,28041766.51,,ES300
2097,2018767,ted.europa.eu/udl?uri=TED:NOTICE:767-2018:TEXT:EN:HTML,"Conselleria de Educación, Investigación, Cultura y Deporte",Valencia,46015,3,Education,S,80000000.0,3409000.0,,ES523
2196,2018872,ted.europa.eu/udl?uri=TED:NOTICE:872-2018:TEXT:EN:HTML,"Barcelona de Serveis Municipals, S.A.",Barcelona,08015,8,"General public\services,Other",W,45000000.0,379683.37,6.0,ES511
2227,20181004,ted.europa.eu/udl?uri=TED:NOTICE:1004-2018:TEXT:EN:HTML,Universitat de València,Valencia,46010,8,"Education,Other",S,90911200.0,22624995.92,24.0,ES523
2228,20181005,ted.europa.eu/udl?uri=TED:NOTICE:1005-2018:TEXT:EN:HTML,Delegado del Gobierno de la Junta de Andalucía en Málaga,Málaga,29007,R,Not specified,S,79714000.0,1180165.3,18.0,ES617
2231,20181008,ted.europa.eu/udl?uri=TED:NOTICE:1008-2018:TEXT:EN:HTML,Ayuntamiento de Oliva,Oliva,46780,3,General public\services,S,75241100.0,1216528.92,43.09,ES523
2232,20181009,ted.europa.eu/udl?uri=TED:NOTICE:1009-2018:TEXT:EN:HTML,Consellería de Medio Ambiente e Ordenación do Territorio,Santiago de Compostela,15781,R,Environment,S,90710000.0,944950.0,9.0,ES11
2235,20181012,ted.europa.eu/udl?uri=TED:NOTICE:1012-2018:TEXT:EN:HTML,Ayuntamiento de las Rozas de Madrid,Las Rozas de Madrid,28231,3,General public\services,S,79625000.0,4712688.0,48.0,ES30
2250,20181063,ted.europa.eu/udl?uri=TED:NOTICE:1063-2018:TEXT:EN:HTML,"Aena S. M. E., S. A.",Madrid,28042,4,Airport-related activities,W,45246400.0,,5.0,
2251,20181068,ted.europa.eu/udl?uri=TED:NOTICE:1068-2018:TEXT:EN:HTML,"Sociedad Pública EuskoTrenbideak Ferrocarriles Vascos, S.A. Unipersonal",Bilbao,48006,4,"Railway services,Urban railway, tramway, trolleybus or bus services",U,34121000.0,3600000.0,12.0,ES21
2259,20181087,ted.europa.eu/udl?uri=TED:NOTICE:1087-2018:TEXT:EN:HTML,"Aena S. M. E., S. A.",Madrid,28042,4,Airport-related activities,S,9310000.0,,12.0,ES618
2260,20181088,ted.europa.eu/udl?uri=TED:NOTICE:1088-2018:TEXT:EN:HTML,"Aena S. M. E., S. A.",Madrid,28042,4,Airport-related activities,S,34000000.0,,12.0,ES521
2261,20181089,ted.europa.eu/udl?uri=TED:NOTICE:1089-2018:TEXT:EN:HTML,"Aena S. M. E., S. A.",Madrid,28042,4,Airport-related activities,S,34969100.0,,12.0,
2391,20181299,ted.europa.eu/udl?uri=TED:NOTICE:1299-2018:TEXT:EN:HTML,Organismo Autónomo «Establecimientos Residenciales para Ancianos de Asturias»,Oviedo,33009,R,Social protection,U,31520000.0,235045.13,,ES120
2393,20181301,ted.europa.eu/udl?uri=TED:NOTICE:1301-2018:TEXT:EN:HTML,"Empresa de Transformación Agraria S.A., S.M.E., M.P., (TRAGSA)",Madrid,28006,8,Environment,U,14210000.0,503758.23,33.26,ES300
2395,20181303,ted.europa.eu/udl?uri=TED:NOTICE:1303-2018:TEXT:EN:HTML,"Empresa de Transformación Agraria S.A., S.M.E., M.P., (TRAGSA)",Madrid,28006,8,Environment,U,44114000.0,242538.61,33.26,ES300
2437,20181317,ted.europa.eu/udl?uri=TED:NOTICE:1317-2018:TEXT:EN:HTML,Organismo Autónomo «Establecimientos Residenciales para Ancianos de Asturias»,Oviedo,33009,R,Social protection,U,30125100.0,287310.19,,ES120
2483,20181324,ted.europa.eu/udl?uri=TED:NOTICE:1324-2018:TEXT:EN:HTML,Gobierno de Aragón,Zaragoza,50017,3,Health,U,33651620.0,400800.0,,ES243
2484,20181325,ted.europa.eu/udl?uri=TED:NOTICE:1325-2018:TEXT:EN:HTML,Gobierno de Aragón,Zaragoza,50017,3,Health,U,33651600.0,2828100.0,,ES243
2504,20181330,ted.europa.eu/udl?uri=TED:NOTICE:1330-2018:TEXT:EN:HTML,Gobierno de Aragón,Zaragoza,50017,3,Health,U,33651600.0,624000.0,,ES243
2513,20181334,ted.europa.eu/udl?uri=TED:NOTICE:1334-2018:TEXT:EN:HTML,Ayuntamiento de Guadalajara,Guadalajara,19001,3,General public\services,U,45316100.0,887928.4,,ES
2515,20181336,ted.europa.eu/udl?uri=TED:NOTICE:1336-2018:TEXT:EN:HTML,Concejalía Delegada del Área de Medio Ambiente y Sostenibilidad del Ayuntamiento de Valladolid,Valladolid,47001,3,Environment,U,38000000.0,227942.11,,ES418
2517,20181337,ted.europa.eu/udl?uri=TED:NOTICE:1337-2018:TEXT:EN:HTML,Axencia para a Modernización Tecnolóxica de Galicia — Xunta de Galicia,Santiago de Compostela,15781,3,General public\services,U,30200000.0,619834.71,,ES11
2766,20181651,ted.europa.eu/udl?uri=TED:NOTICE:1651-2018:TEXT:EN:HTML,Junta de Castilla y León. – Consejería de Economía y Hacienda. – Secretaría General,Valladolid,47014,3,General public\services,S,79212000.0,1636000.0,,ES418
2779,20181655,ted.europa.eu/udl?uri=TED:NOTICE:1655-2018:TEXT:EN:HTML,Diputación Provincial de Salamanca,Salamanca,37002,3,General public\services,S,90481000.0,616624.16,,ES415
2785,20181661,ted.europa.eu/udl?uri=TED:NOTICE:1661-2018:TEXT:EN:HTML,"Ayuntamiento de Madrid. Área de Gobierno de Portavoz, Coordinación de la Junta de Gobierno y Relaciones con el Pleno",Madrid,28014,3,General public\services,S,92400000.0,287894.0,18.03,ES300
2796,20181669,ted.europa.eu/udl?uri=TED:NOTICE:1669-2018:TEXT:EN:HTML,Consejería de Familia e Igualdad de Oportunidades de la Comunidad Autónoma de la Región de Murcia,Murcia,30003,3,Social protection,S,85311300.0,2840832.0,,ES620
2803,20181672,ted.europa.eu/udl?uri=TED:NOTICE:1672-2018:TEXT:EN:HTML,Axencia para a Modernización Tecnolóxica de Galicia — Xunta de Galicia,Santiago de Compostela,15781,3,General public\services,S,72250000.0,5217000.0,,ES11
2811,20181676,ted.europa.eu/udl?uri=TED:NOTICE:1676-2018:TEXT:EN:HTML,"Extenda - Agencia Andaluza de Promoción Exterior, S. A.",Sevilla,41092,8,Other,S,72514000.0,,,ES618
2824,20181682,ted.europa.eu/udl?uri=TED:NOTICE:1682-2018:TEXT:EN:HTML,Axencia para a Modernización Tecnolóxica de Galicia — Xunta de Galicia,Santiago de Compostela,15781,3,General public\services,S,50330000.0,292561.98,,ES11
2831,20181687,ted.europa.eu/udl?uri=TED:NOTICE:1687-2018:TEXT:EN:HTML,Ayuntamiento de Ames,Ames,15864,3,"Recreation, culture and religion",S,92620000.0,348600.0,,ES111
2847,20181702,ted.europa.eu/udl?uri=TED:NOTICE:1702-2018:TEXT:EN:HTML,Junta de Gobierno Lucena,Lucena,14900,3,General public\services,S,71250000.0,269640.0,,ES613
2968,20181751,ted.europa.eu/udl?uri=TED:NOTICE:1751-2018:TEXT:EN:HTML,Pleno del Ayuntamiento de Algemesí,Algemesí.,46680,3,General public\services,S,90511000.0,8150946.12,,ES523
2984,20182212,ted.europa.eu/udl?uri=TED:NOTICE:2212-2018:TEXT:EN:HTML,Presidencia de la Diputación Provincial de Zaragoza,Zaragoza,50071,3,General public\services,S,92310000.0,1452000.0,,ES243
3056,20182372,ted.europa.eu/udl?uri=TED:NOTICE:2372-2018:TEXT:EN:HTML,Consejería de Sanidad del Principado de Asturias,Oviedo,33006,3,Health,U,33696000.0,234318.95,24.0,ES12
3065,20182421,ted.europa.eu/udl?uri=TED:NOTICE:2421-2018:TEXT:EN:HTML,Consejería de Políticas Sociales y Familia,Madrid,28009,3,Social protection,S,85312000.0,235892350.72,48.0,ES300
3066,20182422,ted.europa.eu/udl?uri=TED:NOTICE:2422-2018:TEXT:EN:HTML,Consejería de Políticas Sociales y Familia,Madrid,28009,3,Social protection,S,85311000.0,85479603.6,48.0,ES300
3067,20182423,ted.europa.eu/udl?uri=TED:NOTICE:2423-2018:TEXT:EN:HTML,Departamento de Territorio e Infraestructuras del Consell de Mallorca,Palma de Mallorca,07010,3,General public\services,S,71317210.0,387490.72,34.0,ES532
3069,20182425,ted.europa.eu/udl?uri=TED:NOTICE:2425-2018:TEXT:EN:HTML,Consejería de Políticas Sociales y Familia,Madrid,28009,3,"General public\services,Social protection",S,85312000.0,279220708.8,24.0,
3070,20182426,ted.europa.eu/udl?uri=TED:NOTICE:2426-2018:TEXT:EN:HTML,Ayuntamiento Alfafar,Alfafar,46910,3,General public\services,S,77311000.0,1449475.14,48.0,
3071,20182427,ted.europa.eu/udl?uri=TED:NOTICE:2427-2018:TEXT:EN:HTML,Instituto Municipal de Dinamización Ciudadana,Mairena del Aljarafe,41927,R,"Recreation, culture and religion",S,98341130.0,288910.77,12.0,
3072,20182428,ted.europa.eu/udl?uri=TED:NOTICE:2428-2018:TEXT:EN:HTML,Ayuntamiento Alfafar,Alfafar,46910,3,General public\services,S,50100000.0,1239669.42,48.0,
3073,20182429,ted.europa.eu/udl?uri=TED:NOTICE:2429-2018:TEXT:EN:HTML,Consejería de Políticas Sociales y Familia,Madrid,28009,3,"General public\services,Social protection",S,79511000.0,,,
3074,20182430,ted.europa.eu/udl?uri=TED:NOTICE:2430-2018:TEXT:EN:HTML,Diputación General de Aragón. Departamento de Hacienda y Administración Pública,Zaragoza,50001,3,General public\services,S,72240000.0,588720.0,12.0,ES243
3078,20182434,ted.europa.eu/udl?uri=TED:NOTICE:2434-2018:TEXT:EN:HTML,Instituto Municipal de Dinamización Ciudadana,Mairena del Aljarafe,41927,R,"Recreation, culture and religion",S,90911000.0,576273.54,12.0,
3127,20182546,ted.europa.eu/udl?uri=TED:NOTICE:2546-2018:TEXT:EN:HTML,European Agency for Safety and Health at Work,Bilbao,E-48003,5,Other,S,73000000.0,3100000.0,,ES213
3167,20182590,ted.europa.eu/udl?uri=TED:NOTICE:2590-2018:TEXT:EN:HTML,The European Joint Undertaking for ITER and the development of Fusion Energy (&quot;Fusion for Energy&quot;),Barcelona,08019,8,Other,W,45210000.0,67700000.0,,ES511
3420,20182774,ted.europa.eu/udl?uri=TED:NOTICE:2774-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Córdoba,Córdoba,14071,3,General public\services,U,48730000.0,270000.0,,ES613
3537,20182784,ted.europa.eu/udl?uri=TED:NOTICE:2784-2018:TEXT:EN:HTML,Servicio de Salud del Principado de Asturias,Oviedo,33001,6,Health,U,33140000.0,8718960.0,,ES
3560,20182788,ted.europa.eu/udl?uri=TED:NOTICE:2788-2018:TEXT:EN:HTML,Diputación Provincial de Málaga,Málaga,29004,3,General public\services,U,34100000.0,1338941.78,,ES617
3607,20182802,ted.europa.eu/udl?uri=TED:NOTICE:2802-2018:TEXT:EN:HTML,"Consejo de Administración de Medio Ambiente, Agua, Residuos y Energía de Cantabria S.A. (MARE S.A.)",Cartes,39311,8,Environment,U,45259200.0,500000.0,,ES130
3852,20182865,ted.europa.eu/udl?uri=TED:NOTICE:2865-2018:TEXT:EN:HTML,Consejería de Fomento de la Junta de Comunidades de Castilla-La Mancha,Toledo,45071,3,General public\services,U,48400000.0,1291662.24,,ES425
3853,20182866,ted.europa.eu/udl?uri=TED:NOTICE:2866-2018:TEXT:EN:HTML,Consejería de Hacienda,Valladolid,47007,3,Health,U,66516500.0,40000000.0,,ES418
3854,20182867,ted.europa.eu/udl?uri=TED:NOTICE:2867-2018:TEXT:EN:HTML,"Empresa de Transformación Agraria S.A., S.M.E., M.P., (TRAGSA)",Madrid,28006,8,Environment,U,44110000.0,1061954.38,24.05,ES300
4139,20183262,ted.europa.eu/udl?uri=TED:NOTICE:3262-2018:TEXT:EN:HTML,"Ayuntamiento de Madrid. Área de Gobierno de Equidad, Derechos Sociales y Empleo",Madrid,28045,3,Social protection,S,55330000.0,2207121.58,,ES300
4141,20183264,ted.europa.eu/udl?uri=TED:NOTICE:3264-2018:TEXT:EN:HTML,"Consejo de Administración de Sociedad Mercantil Estatal Aguas de las Cuencas de España, S.A. (ACUAES)",Madrid,28003,8,Environment,S,65130000.0,811230.14,,ES300
4146,20183269,ted.europa.eu/udl?uri=TED:NOTICE:3269-2018:TEXT:EN:HTML,Jefatura de Asuntos Económicos de la Guardia Civil,Madrid,28003,1,Public Order and Safety,S,66512100.0,2000000.0,,ES300
4147,20183270,ted.europa.eu/udl?uri=TED:NOTICE:3270-2018:TEXT:EN:HTML,Diputación Foral de Gipuzkoa,San Sebastián,20018,3,General public\services,S,72310000.0,1249560.0,,ES212
4153,20183273,ted.europa.eu/udl?uri=TED:NOTICE:3273-2018:TEXT:EN:HTML,Ayuntamiento de Reus,Reus,43201,3,General public\services,S,77211500.0,669392.72,,ES514
4158,20183278,ted.europa.eu/udl?uri=TED:NOTICE:3278-2018:TEXT:EN:HTML,Institut de Cultura de Barcelona,Barcelona,08002,3,"Recreation, culture and religion",S,92520000.0,6823175.7,,ES
4219,20183311,ted.europa.eu/udl?uri=TED:NOTICE:3311-2018:TEXT:EN:HTML,"Subsecretaría de Sanidad, Servicios Sociales e Igualdad",Madrid,28014,1,General public\services,S,50324100.0,429752.08,,ES300
4221,20183312,ted.europa.eu/udl?uri=TED:NOTICE:3312-2018:TEXT:EN:HTML,Gerencia Regional de Salud de Castilla y León,Valladolid,47071,3,Health,S,85145000.0,1855423.68,,ES41
4228,20183316,ted.europa.eu/udl?uri=TED:NOTICE:3316-2018:TEXT:EN:HTML,"Ayuntamiento de Madrid, Área de Gobierno de Equidad, Derechos Sociales y Empleo",Madrid,28045,3,Social protection,S,85320000.0,3622078.72,,ES300
4233,20183319,ted.europa.eu/udl?uri=TED:NOTICE:3319-2018:TEXT:EN:HTML,Govern de les Illes Balears. Conselleria de Salut,Palma de Mallorca,07002 PALMA,3,Health,S,85140000.0,627682.18,,ES532
4238,20183324,ted.europa.eu/udl?uri=TED:NOTICE:3324-2018:TEXT:EN:HTML,Ministerio de Empleo y Seguridad Social - Secretaría de Estado de Seguridad Social - Intervención General de la Seguridad Social,Madrid,28014,1,Other,S,79212000.0,1290000.0,,ESZZZ
4250,20183327,ted.europa.eu/udl?uri=TED:NOTICE:3327-2018:TEXT:EN:HTML,Área Sanitaria I. Servicio de Salud del Principado de Asturias,Jarrio (Coaña),33719,R,Health,S,60000000.0,,,ES120
4270,20183330,ted.europa.eu/udl?uri=TED:NOTICE:3330-2018:TEXT:EN:HTML,Dirección del Instituto Español de Oceanografía,Madrid,28002,1,General public\services,S,90911200.0,960000.0,11.97,ES300
4271,20183331,ted.europa.eu/udl?uri=TED:NOTICE:3331-2018:TEXT:EN:HTML,Gerencia Regional de Salud de Castilla y León,Valladolid,47071,3,Health,S,71221000.0,1055816.3,,ES41
4272,20183332,ted.europa.eu/udl?uri=TED:NOTICE:3332-2018:TEXT:EN:HTML,Axencia para a Modernización Tecnolóxica de Galicia – Xunta de Galicia,Santiago de Compostela,15781,3,General public\services,S,72100000.0,1207947.1,,ES11
4345,20183334,ted.europa.eu/udl?uri=TED:NOTICE:3334-2018:TEXT:EN:HTML,Ayuntamiento de Santa Coloma de Gramenet,Santa Coloma de Gramenet,08921,3,General public\services,S,55320000.0,2843583.0,,ES511
4616,20183934,ted.europa.eu/udl?uri=TED:NOTICE:3934-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Torrejón de Ardoz,Torrejón de Ardoz,28850,3,General public\services,S,80500000.0,,,ES300
4669,20184027,ted.europa.eu/udl?uri=TED:NOTICE:4027-2018:TEXT:EN:HTML,Autoridad Portuaria de Bilbao,Santurtzi,48980,4,Port-related activities,S,50700000.0,4368135.7,,ES213
4689,20184104,ted.europa.eu/udl?uri=TED:NOTICE:4104-2018:TEXT:EN:HTML,Departamento de Territorio e Infraestructuras del Consell de Mallorca,Palma de Mallorca,07010,3,General public\services,W,45233140.0,7505398.76,18.0,ES532
4696,20184137,ted.europa.eu/udl?uri=TED:NOTICE:4137-2018:TEXT:EN:HTML,Diputació de Girona,Girona,17004,3,General public\services,U,44113610.0,649600.0,12.0,ES512
4699,20184140,ted.europa.eu/udl?uri=TED:NOTICE:4140-2018:TEXT:EN:HTML,Servicio Madrileño de Salud – Hospital Universitario «12 de Octubre»,Madrid,28041,6,Health,U,33140000.0,258954.8,12.0,ES30
4702,20184142,ted.europa.eu/udl?uri=TED:NOTICE:4142-2018:TEXT:EN:HTML,Servicio Cántabro de Salud — Hospital U. «Marqués de Valdecilla»,Santander,39008,3,Health,U,33140000.0,3226696.52,,ES13
4703,20184143,ted.europa.eu/udl?uri=TED:NOTICE:4143-2018:TEXT:EN:HTML,Servicio Madrileño de Salud — Hospital Universitario «12 de Octubre»,Madrid,28041,6,Health,U,33140000.0,259403.52,12.0,ES30
4705,20184145,ted.europa.eu/udl?uri=TED:NOTICE:4145-2018:TEXT:EN:HTML,"Pompièrs·Emergéncies, SL",Vielha,25530,8,Health,U,34114121.0,235123.98,8.0,ES513
4706,20184146,ted.europa.eu/udl?uri=TED:NOTICE:4146-2018:TEXT:EN:HTML,Ayuntamiento de Fuenlabrada,Fuenlabrada,28943,3,Other,U,37535200.0,330578.51,6.0,ES30
4708,20184148,ted.europa.eu/udl?uri=TED:NOTICE:4148-2018:TEXT:EN:HTML,Ayuntamiento de Vitoria-Gasteiz,Vitoria-Gasteiz,01001,3,General public\services,U,9310000.0,10289895.0,48.0,ES211
4710,20184150,ted.europa.eu/udl?uri=TED:NOTICE:4150-2018:TEXT:EN:HTML,Ajuntament de Ripoll,Ripoll,17500,3,General public\services,U,34928530.0,2475848.99,152.0,ES512
4725,20184222,ted.europa.eu/udl?uri=TED:NOTICE:4222-2018:TEXT:EN:HTML,Consejería de Políticas Sociales y Familia,Madrid,28009,3,"General public\services,Social protection",S,90919200.0,1369368.0,21.0,
4727,20184224,ted.europa.eu/udl?uri=TED:NOTICE:4224-2018:TEXT:EN:HTML,Consejería de Políticas Sociales y Familia,Madrid,28009,3,"General public\services,Social protection",S,85312000.0,2037750.0,24.0,ES300
4737,20184310,ted.europa.eu/udl?uri=TED:NOTICE:4310-2018:TEXT:EN:HTML,"Aena S.M.E, S.A.",Madrid,28042,4,Airport-related activities,W,45200000.0,9899155.07,10.0,ES511
4738,20184311,ted.europa.eu/udl?uri=TED:NOTICE:4311-2018:TEXT:EN:HTML,"Aena S.M.E, S.A.",Madrid,28042,4,Airport-related activities,W,45200000.0,9899155.07,10.0,ES511
4739,20184312,ted.europa.eu/udl?uri=TED:NOTICE:4312-2018:TEXT:EN:HTML,"Aena S.M.E, S.A.",Madrid,28042,4,Airport-related activities,W,45200000.0,34302441.11,24.0,ES511
4743,20184317,ted.europa.eu/udl?uri=TED:NOTICE:4317-2018:TEXT:EN:HTML,"Aena S.M.E, S.A.",Madrid,28042,4,Airport-related activities,U,34967000.0,1079720.0,12.0,ES53
4746,20184335,ted.europa.eu/udl?uri=TED:NOTICE:4335-2018:TEXT:EN:HTML,Gestión Integral del Agua de Huelva S.A.,Aljaraque,21110,4,"Other,Water",S,65000000.0,,36.0,
5074,20184616,ted.europa.eu/udl?uri=TED:NOTICE:4616-2018:TEXT:EN:HTML,"Indesa 2010, S.L.",Vitoria-Gasteiz,01013,8,Other,U,39830000.0,1019376.67,,ES211
5126,20184618,ted.europa.eu/udl?uri=TED:NOTICE:4618-2018:TEXT:EN:HTML,Axencia para a Modernización Tecnolóxica de Galicia — Xunta de Galicia,Santiago de Compostela,15781,3,General public\services,U,30200000.0,495867.77,,ES11
5131,20184621,ted.europa.eu/udl?uri=TED:NOTICE:4621-2018:TEXT:EN:HTML,División Económica y Técnica (Cuerpo Nacional de Policía),Madrid,28043,1,Public Order and Safety,U,18512000.0,225000.0,,ES300
5158,20184627,ted.europa.eu/udl?uri=TED:NOTICE:4627-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Málaga,Málaga,29016,3,General public\services,U,39522120.0,220870.56,,ES617
5161,20184628,ted.europa.eu/udl?uri=TED:NOTICE:4628-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Málaga,Málaga,29016,3,General public\services,U,37535200.0,322221.89,,ES617
5168,20184629,ted.europa.eu/udl?uri=TED:NOTICE:4629-2018:TEXT:EN:HTML,Direccion General — Osakidetza,Vitoria-Gasteiz,01006,8,Health,U,33111000.0,352000.0,,ES211
5318,20184659,ted.europa.eu/udl?uri=TED:NOTICE:4659-2018:TEXT:EN:HTML,Direccion General – Osakidetza,Vitoria-Gasteiz,01006,8,Health,U,33600000.0,11737600.0,,ES211
5447,20185058,ted.europa.eu/udl?uri=TED:NOTICE:5058-2018:TEXT:EN:HTML,Fábrica Nacional de Moneda y Timbre — Real Casa de la Moneda,Madrid,28071,6,Economical anf Financial Affairs,S,98511000.0,560000.0,,ES300
5490,20185088,ted.europa.eu/udl?uri=TED:NOTICE:5088-2018:TEXT:EN:HTML,Corporación Radio e Televisión de Galicia S.A.,Santiago de Compostela,15820,8,Other,S,79710000.0,450000.0,,ES111
5495,20185093,ted.europa.eu/udl?uri=TED:NOTICE:5093-2018:TEXT:EN:HTML,"Comunidad Autónoma de la Región de Murcia, Servicio Murciano de Salud",Murcia,30100,6,Health,S,85141210.0,,,ES62
5500,20185095,ted.europa.eu/udl?uri=TED:NOTICE:5095-2018:TEXT:EN:HTML,Concejalía Delegada del Área de Medio Ambiente y Sostenibilidad del Ayuntamiento de Valladolid,Valladolid,47001,3,Environment,S,90511400.0,6410796.12,,ES418
5504,20185099,ted.europa.eu/udl?uri=TED:NOTICE:5099-2018:TEXT:EN:HTML,Junta de Gobierno Lucena,Lucena (Córdoba),14900,3,General public\services,S,71250000.0,269640.0,,ES613
5509,20185103,ted.europa.eu/udl?uri=TED:NOTICE:5103-2018:TEXT:EN:HTML,"Junta de Contratación del Ministerio de Energía, Turismo y Agenda Digital",Madrid,28071,1,General public\services,S,50410000.0,2591905.92,,ES300
5513,20185106,ted.europa.eu/udl?uri=TED:NOTICE:5106-2018:TEXT:EN:HTML,Mancomunidad de Municipios de la Comarca de la Bañeza,Villamontán de la Valduerna (León),24766,3,General public\services,S,90511100.0,873880.68,,ES413
5516,20185108,ted.europa.eu/udl?uri=TED:NOTICE:5108-2018:TEXT:EN:HTML,Instituto Municipal de Informática de Barcelona,Barcelona,08018,R,General public\services,S,72224000.0,1463046.56,,ES
5517,20185109,ted.europa.eu/udl?uri=TED:NOTICE:5109-2018:TEXT:EN:HTML,"Euskalduna Jauregia — Palacio Euskalduna, S.A.",Bilbao,48011,3,Other,S,71310000.0,372000.0,,ES213
5518,20185110,ted.europa.eu/udl?uri=TED:NOTICE:5110-2018:TEXT:EN:HTML,Servicio Gallego de Salud. Estructura Organizativa de Gestión Integrada de Santiago de Compostela,Santiago de Compostela,15706,6,Health,S,90911200.0,1334380.14,,ES111
5525,20185116,ted.europa.eu/udl?uri=TED:NOTICE:5116-2018:TEXT:EN:HTML,Axencia para a Modernización Tecnolóxica de Galicia — Xunta de Galicia,Santiago de Compostela,15781,3,General public\services,S,72250000.0,6330858.84,,ES11
5530,20185121,ted.europa.eu/udl?uri=TED:NOTICE:5121-2018:TEXT:EN:HTML,Ayuntamiento de Arrasate-Mondragón,Arrasate,20500,3,General public\services,S,66515000.0,524000.0,,ES212
5534,20185122,ted.europa.eu/udl?uri=TED:NOTICE:5122-2018:TEXT:EN:HTML,Ayuntamiento de Zaragoza (Servicio de contratación),Zaragoza,50071,3,General public\services,S,50232000.0,16588883.2,,ES243
5573,20185130,ted.europa.eu/udl?uri=TED:NOTICE:5130-2018:TEXT:EN:HTML,Madrid Destino Cultura Turismo y Negocio S.A.,Madrid,28015,8,Other,S,79950000.0,268650.0,,ES300
