,Unnamed: 0,ID_NOTICE_CN,TED_NOTICE_URL,CAE_NAME,CAE_TOWN,CAE_POSTAL_CODE,CAE_TYPE,MAIN_ACTIVITY,TYPE_OF_CONTRACT,CPV,VALUE_EURO_FIN_1,DURATION,TAL_LOCATION_NUTS
10114,630781,2018462791,ted.europa.eu/udl?uri=TED:NOTICE:462791-2018:TEXT:EN:HTML,Ayuntamiento de El Ejido,El Ejido,04700,3,General public\services,S,50313100.0,303862.25,,ES611
10117,630930,2018463540,ted.europa.eu/udl?uri=TED:NOTICE:463540-2018:TEXT:EN:HTML,"Gerencia de Aguas de Huelva, S. A.",Huelva,21002,4,Water,S,64000000.0,277954.2,,ES615
10118,630942,2018463576,ted.europa.eu/udl?uri=TED:NOTICE:463576-2018:TEXT:EN:HTML,"Osakidetza—SVS, ESI Donostialdea/Osi Donostialdea",San Sebastián-Donostia,E-20014,3,Health,U,33122000.0,937622.4,24.0,ES212
10121,630978,2018463670,ted.europa.eu/udl?uri=TED:NOTICE:463670-2018:TEXT:EN:HTML,Ayuntamiento de Getxo,Getxo,48992,3,General public\services,S,50700000.0,1079098.0,24.0,ES213
10122,630984,2018463676,ted.europa.eu/udl?uri=TED:NOTICE:463676-2018:TEXT:EN:HTML,Consejería de Medio Ambiente y Ordenación del Territorio de la Junta de Andalucía,Sevilla,41071,3,General public\services,S,72510000.0,5038932.0,25.0,ES618
10125,630988,2018463680,ted.europa.eu/udl?uri=TED:NOTICE:463680-2018:TEXT:EN:HTML,Zarauzko Udala-Ayuntamiento de Zarautz,Zarautz,20800,3,General public\services,S,66510000.0,570000.0,48.0,ES212
10126,631009,2018463701,ted.europa.eu/udl?uri=TED:NOTICE:463701-2018:TEXT:EN:HTML,Ayuntamiento de Castelldefels,Castelldefels,08860,3,General public\services,S,45259000.0,1151329.12,36.0,ES511
10127,631014,2018463706,ted.europa.eu/udl?uri=TED:NOTICE:463706-2018:TEXT:EN:HTML,"Consejería de Empleo, Industria y Turismo del Principado de Asturias",Oviedo,33007,3,General public\services,S,72267000.0,443521.49,12.0,ES120
10128,631023,2018463747,ted.europa.eu/udl?uri=TED:NOTICE:463747-2018:TEXT:EN:HTML,"Aena, S. A.",Palma de Mallorca,07611,4,Airport-related activities,U,51700000.0,,3.0,ES532
10131,632329,2018464353,ted.europa.eu/udl?uri=TED:NOTICE:464353-2018:TEXT:EN:HTML,Fundación de Hemoterapia y Hemodonación de Castilla y León,Valladolid,47007,8,General public\services,U,33696500.0,1620480.0,11.97,ES418
10132,632330,2018464354,ted.europa.eu/udl?uri=TED:NOTICE:464354-2018:TEXT:EN:HTML,Vicepresidencia del Consejo de Administración de la Entidad Pública de Saneamiento de Aguas Residuales de la Comunidad Valenciana,Valencia,46010,6,Environment,U,42996000.0,319198.01,,ES523
10133,632351,2018464362,ted.europa.eu/udl?uri=TED:NOTICE:464362-2018:TEXT:EN:HTML,Jefatura de Asuntos Económicos de la Guardia Civil,Madrid,28003,1,Public Order and Safety,U,34730000.0,11600000.0,,ES300
10134,632353,2018464363,ted.europa.eu/udl?uri=TED:NOTICE:464363-2018:TEXT:EN:HTML,"Conselleria de Educación, Investigación, Cultura y Deporte",Valencia,46015,3,Education,U,71200000.0,771941.2,,ES523
10135,632355,2018464364,ted.europa.eu/udl?uri=TED:NOTICE:464364-2018:TEXT:EN:HTML,"Organización Sanitaria Integrada Ezkerraldea Enkarterri Cruces, Osakidetza-Servicio Vasco de Salud",Barakaldo,48903,3,Health,U,33140000.0,3192963.98,,ES213
10136,632356,2018464365,ted.europa.eu/udl?uri=TED:NOTICE:464365-2018:TEXT:EN:HTML,Dirección del Servicio de Gestión Económica de la Agencia Estatal de la Administración Tributaria,Madrid,28020,1,Economical anf Financial Affairs,U,30213000.0,436636.63,,ES300
10137,632357,2018464366,ted.europa.eu/udl?uri=TED:NOTICE:464366-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Murcia,Murcia,30004,3,General public\services,U,9134000.0,1570425.55,,ES620
10138,632358,2018464367,ted.europa.eu/udl?uri=TED:NOTICE:464367-2018:TEXT:EN:HTML,Diputación de Barcelona,Barcelona,08036,3,General public\services,U,18000000.0,237343.91,,ES511
10139,632360,2018464368,ted.europa.eu/udl?uri=TED:NOTICE:464368-2018:TEXT:EN:HTML,"Empresa Municipal de la Vivienda y Suelo de Madrid, S. A.",Madrid,28012,8,Housing and community amenities,U,48000000.0,243423.0,,ES300
10140,632367,2018464375,ted.europa.eu/udl?uri=TED:NOTICE:464375-2018:TEXT:EN:HTML,Rectorado de la Universidad de Almería,Almería,04120,6,Education,U,51300000.0,460000.0,,ES611
10141,632814,2018464450,ted.europa.eu/udl?uri=TED:NOTICE:464450-2018:TEXT:EN:HTML,"Departamento de Vertebración del Territorio, Movilidad y Vivienda",Zaragoza,50071,3,Housing and community amenities,U,24327330.0,1487603.3,,ES243
10142,632928,2018464496,ted.europa.eu/udl?uri=TED:NOTICE:464496-2018:TEXT:EN:HTML,Jefatura de la Sección Económico Administrativa 15 Agrupación del Cuartel General del Ejército del Aire,Madrid,28071,1,Defence,U,9123000.0,322933.4,9.93,ES300
10146,633211,2018464546,ted.europa.eu/udl?uri=TED:NOTICE:464546-2018:TEXT:EN:HTML,"Empresa de Transformación Agraria, S. A., S. M. E., M .P., (TRAGSA)",Madrid,28006,8,Environment,U,9134000.0,1459500.0,,ES300
10147,633213,2018464547,ted.europa.eu/udl?uri=TED:NOTICE:464547-2018:TEXT:EN:HTML,"Empresa de Transformación Agraria, S. A., S. M. E., M. P. (TRAGSA)",Madrid,28006,8,Environment,U,31211100.0,1584820.86,11.71,ES300
10149,633537,2018465197,ted.europa.eu/udl?uri=TED:NOTICE:465197-2018:TEXT:EN:HTML,Ayuntamiento de Zarautz,Zarautz (Gipuzkoa),,3,General public\services,S,66510000.0,570000.0,,ES212
10150,633570,2018465204,ted.europa.eu/udl?uri=TED:NOTICE:465204-2018:TEXT:EN:HTML,Organismo Autónomo «Establecimientos Residenciales para Ancianos de Asturias»,Oviedo,33009,R,Social protection,S,90911000.0,2689533.51,,ES120
10151,633586,2018465213,ted.europa.eu/udl?uri=TED:NOTICE:465213-2018:TEXT:EN:HTML,Departamento de Presidencia,Zaragoza,50071,3,General public\services,S,72514200.0,221847.12,,ES243
10154,633650,2018465242,ted.europa.eu/udl?uri=TED:NOTICE:465242-2018:TEXT:EN:HTML,"Dirección General del INTA, M. P.",Torrejón de Ardoz (Madrid),28850,1,Defence,S,50700000.0,915974.98,12.01,ES300
10155,633686,2018465271,ted.europa.eu/udl?uri=TED:NOTICE:465271-2018:TEXT:EN:HTML,Organismo Autónomo Establecimientos Residenciales para Ancianos de Asturias,Oviedo,33009,3,Social protection,S,98341120.0,659886.12,,ES120
10156,633688,2018465272,ted.europa.eu/udl?uri=TED:NOTICE:465272-2018:TEXT:EN:HTML,Consorci Mar Parc de Salut de Barcelona,Barcelona,08003,3,Health,S,71242000.0,2454566.88,,ES511
10158,633690,2018465274,ted.europa.eu/udl?uri=TED:NOTICE:465274-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Santa Cruz de Tenerife,Santa Cruz de Tenerife,38004,3,General public\services,S,64200000.0,1087616.73,,ES709
10159,633691,2018465275,ted.europa.eu/udl?uri=TED:NOTICE:465275-2018:TEXT:EN:HTML,Dirección General de la Fundación EOI,Madrid,28040,8,Education,S,79341000.0,868250.0,,ES300
10160,633692,2018465276,ted.europa.eu/udl?uri=TED:NOTICE:465276-2018:TEXT:EN:HTML,Junta de Contratación de la Subsecretaría de Fomento,Madrid,28071,1,General public\services,S,66514110.0,992250.0,,ES300
10161,633693,2018465277,ted.europa.eu/udl?uri=TED:NOTICE:465277-2018:TEXT:EN:HTML,"Centre MQ de Reus, S. A.---Fundació Lliga per a la Investigació i Prevenció del Càncer---Fundació Sagessa Salut---Fundació per l&apos;Atenció Social---Gestió Comarcal Hospitalària, S. A. M.---Gestió Integral Sanitària i Assistèncial, AIE (GINSA), Hospital Universitari Sant Joan de Reus, Oficinas de GINSA, Unidad de Contratación---Hospital de Sant Joan de Reus, S. A. M.",Reus---Reus---Reus---Reus---Reus---Reus---Reus,43204---43204---43204---43204---43204---43204---43204,8,Other,S,64112000.0,996848.85,,ES514
10163,633698,2018465280,ted.europa.eu/udl?uri=TED:NOTICE:465280-2018:TEXT:EN:HTML,"Consejería de Economía, Empleo y Hacienda",Madrid,28014,3,General public\services,S,80530000.0,2970080.0,,ES300
10164,633717,2018465281,ted.europa.eu/udl?uri=TED:NOTICE:465281-2018:TEXT:EN:HTML,"Mutua Universal Mugenat, Mutua Colaboradora con la Seguridad Social n.º 10",Barcelona,08022,8,General public\services,S,72267000.0,795593.9,,ES511
10165,633718,2018465282,ted.europa.eu/udl?uri=TED:NOTICE:465282-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Murcia,Murcia,30004,3,General public\services,S,90919300.0,1127613.6,,ES620
10166,633719,2018465283,ted.europa.eu/udl?uri=TED:NOTICE:465283-2018:TEXT:EN:HTML,"Dirección General de Ibermutuamur, Mutua Colaboradora con la Seguridad Social n.º 274",Madrid,28043,8,General public\services,S,90919200.0,378101.76,,ES300
10167,633723,2018465284,ted.europa.eu/udl?uri=TED:NOTICE:465284-2018:TEXT:EN:HTML,Dirección General de la Entidad Pública Empresarial Red.es,Madrid,28020,1,General public\services,S,72250000.0,889995.0,,ES300
10168,633724,2018465285,ted.europa.eu/udl?uri=TED:NOTICE:465285-2018:TEXT:EN:HTML,Dirección General de la Entidad Pública Empresarial Red.es,Madrid,28020,1,General public\services,S,72000000.0,2139345.0,,ES300
10169,633725,2018465286,ted.europa.eu/udl?uri=TED:NOTICE:465286-2018:TEXT:EN:HTML,Ayuntamiento de Logroño,Logroño,26071,3,General public\services,S,85321000.0,380100.0,,ES230
10170,633726,2018465287,ted.europa.eu/udl?uri=TED:NOTICE:465287-2018:TEXT:EN:HTML,Consell Comarcal de l&apos;Alt Empordà,Figueres,17600,3,General public\services,S,60130000.0,768641.62,29.51,ES512
10171,633732,2018465288,ted.europa.eu/udl?uri=TED:NOTICE:465288-2018:TEXT:EN:HTML,"Junta de Contratación del Ministerio de Trabajo, Migraciones y Seguridad Social",Madrid,28071,1,General public\services,S,90911200.0,417974.22,,ES300
10172,633735,2018465289,ted.europa.eu/udl?uri=TED:NOTICE:465289-2018:TEXT:EN:HTML,Dirección General del Centro para el Desarrollo Tecnológico Industrial (CDTI),Madrid,28001,6,General public\services,S,63510000.0,259200.0,,ES300
10173,633736,2018465290,ted.europa.eu/udl?uri=TED:NOTICE:465290-2018:TEXT:EN:HTML,"Dirección General de la Sociedad Pública de Radiodifusión y Televisión Extremeña, S. A. U.",Mérida,06800,6,Education,S,79550000.0,554538.0,,ES431
10174,633737,2018465291,ted.europa.eu/udl?uri=TED:NOTICE:465291-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Granada,Granada,18071,3,General public\services,S,50000000.0,1087151.1,,ES614
10175,633738,2018465292,ted.europa.eu/udl?uri=TED:NOTICE:465292-2018:TEXT:EN:HTML,"Consejería de Economía, Hacienda y Administración Pública, Junta de Andalucía",Sevilla,41071,3,Economical anf Financial Affairs,S,72267100.0,361922.4,,ES618
