,Unnamed: 0,ID_NOTICE_CN,TED_NOTICE_URL,CAE_NAME,CAE_TOWN,CAE_POSTAL_CODE,CAE_TYPE,MAIN_ACTIVITY,TYPE_OF_CONTRACT,CPV,VALUE_EURO_FIN_1,DURATION,TAL_LOCATION_NUTS
0,29,201865,ted.europa.eu/udl?uri=TED:NOTICE:65-2018:TEXT:EN:HTML,Ayuntamiento de Barcelona,Barcelona,08018,3,General public\services,W,45112100.0,3288261.39,,ES511
1,624,2018169,ted.europa.eu/udl?uri=TED:NOTICE:169-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Utrera,Utrera,41710,3,General public\services,U,44190000.0,348538.4,,ES618
2,1055,2018174,ted.europa.eu/udl?uri=TED:NOTICE:174-2018:TEXT:EN:HTML,Gerencia de Gestión Integrada de Vigo,Vigo,36211,3,Health,U,33141200.0,471052.8,,ES114
3,1279,2018201,ted.europa.eu/udl?uri=TED:NOTICE:201-2018:TEXT:EN:HTML,Excmo. Ayuntamiento de Dos Hermanas,Dos Hermanas,41701,3,General public\services,U,34928471.0,991350.0,,ES618
4,1471,2018234,ted.europa.eu/udl?uri=TED:NOTICE:234-2018:TEXT:EN:HTML,Consorci Mar Parc de Salut de Barcelona,Barcelona,08003,3,Health,U,48800000.0,710000.0,,ES511
5,1472,2018235,ted.europa.eu/udl?uri=TED:NOTICE:235-2018:TEXT:EN:HTML,Consorci Mar Parc de Salut de Barcelona,Barcelona,08003,3,Health,U,33696800.0,1609056.0,,ES511
6,1754,2018413,ted.europa.eu/udl?uri=TED:NOTICE:413-2018:TEXT:EN:HTML,Consorcio del Centro de Cultura Contemporánea de Barcelona---Consorcio del Parque Natural de la Sierra de Collserola---Diputación de Barcelona / Subdirección de Logística---Instituto del Teatro---Organismo de Gestión Tributaria,Barcelona---Barcelona---Barcelona---Barcelona---Barcelona,08001---08017---08036---08004---08028,3,General public\services,S,64110000.0,5944231.87,,ES511
7,1757,2018416,ted.europa.eu/udl?uri=TED:NOTICE:416-2018:TEXT:EN:HTML,Dirección General de Carreteras,Madrid,28071,1,General public\services,S,71520000.0,717858.37,,ES300
8,1759,2018418,ted.europa.eu/udl?uri=TED:NOTICE:418-2018:TEXT:EN:HTML,Departamento de Interior,Barcelona,08009,3,Public Order and Safety,S,50700000.0,1502400.0,,ES511
10,1775,2018426,ted.europa.eu/udl?uri=TED:NOTICE:426-2018:TEXT:EN:HTML,Secretaría de Estado de Servicios Sociales e Igualdad,Madrid,28014,1,Social protection,S,79512000.0,1865700.71,,ES300
11,1781,2018432,ted.europa.eu/udl?uri=TED:NOTICE:432-2018:TEXT:EN:HTML,Gerencia de Gestión Integrada de Vigo,Vigo,36211,3,Health,S,90911200.0,284640.0,,ES114
12,1789,2018438,ted.europa.eu/udl?uri=TED:NOTICE:438-2018:TEXT:EN:HTML,Dirección General de Carreteras,Madrid,28071,1,General public\services,S,71311000.0,124831.0,,ES300
13,1803,2018442,ted.europa.eu/udl?uri=TED:NOTICE:442-2018:TEXT:EN:HTML,Dirección General de Carreteras,Madrid,28071,1,General public\services,S,71311000.0,422688.0,,ES300
14,1805,2018444,ted.europa.eu/udl?uri=TED:NOTICE:444-2018:TEXT:EN:HTML,Dirección General de Carreteras,Madrid,28071,1,General public\services,S,50230000.0,16704125.92,,ES300
15,1806,2018445,ted.europa.eu/udl?uri=TED:NOTICE:445-2018:TEXT:EN:HTML,Dirección General de Carreteras,Madrid,28071,1,General public\services,S,50230000.0,11867827.88,,ES300
16,1888,2018483,ted.europa.eu/udl?uri=TED:NOTICE:483-2018:TEXT:EN:HTML,Dirección General de Carreteras,Madrid,28071,1,General public\services,S,50230000.0,14993867.64,,ES300
17,1889,2018484,ted.europa.eu/udl?uri=TED:NOTICE:484-2018:TEXT:EN:HTML,Dirección General de Carreteras,Madrid,28071,1,General public\services,S,50230000.0,28041766.51,,ES300
18,2097,2018767,ted.europa.eu/udl?uri=TED:NOTICE:767-2018:TEXT:EN:HTML,"Conselleria de Educación, Investigación, Cultura y Deporte",Valencia,46015,3,Education,S,80000000.0,3409000.0,,ES523
19,2196,2018872,ted.europa.eu/udl?uri=TED:NOTICE:872-2018:TEXT:EN:HTML,"Barcelona de Serveis Municipals, S.A.",Barcelona,08015,8,"General public\services,Other",W,45000000.0,379683.37,6.0,ES511
20,2227,20181004,ted.europa.eu/udl?uri=TED:NOTICE:1004-2018:TEXT:EN:HTML,Universitat de València,Valencia,46010,8,"Education,Other",S,90911200.0,22624995.92,24.0,ES523
21,2228,20181005,ted.europa.eu/udl?uri=TED:NOTICE:1005-2018:TEXT:EN:HTML,Delegado del Gobierno de la Junta de Andalucía en Málaga,Málaga,29007,R,Not specified,S,79714000.0,1180165.3,18.0,ES617
22,2231,20181008,ted.europa.eu/udl?uri=TED:NOTICE:1008-2018:TEXT:EN:HTML,Ayuntamiento de Oliva,Oliva,46780,3,General public\services,S,75241100.0,1216528.92,43.09,ES523
27,2259,20181087,ted.europa.eu/udl?uri=TED:NOTICE:1087-2018:TEXT:EN:HTML,"Aena S. M. E., S. A.",Madrid,28042,4,Airport-related activities,S,9310000.0,,12.0,ES618
28,2260,20181088,ted.europa.eu/udl?uri=TED:NOTICE:1088-2018:TEXT:EN:HTML,"Aena S. M. E., S. A.",Madrid,28042,4,Airport-related activities,S,34000000.0,,12.0,ES521
30,2391,20181299,ted.europa.eu/udl?uri=TED:NOTICE:1299-2018:TEXT:EN:HTML,Organismo Autónomo «Establecimientos Residenciales para Ancianos de Asturias»,Oviedo,33009,R,Social protection,U,31520000.0,235045.13,,ES120
31,2393,20181301,ted.europa.eu/udl?uri=TED:NOTICE:1301-2018:TEXT:EN:HTML,"Empresa de Transformación Agraria S.A., S.M.E., M.P., (TRAGSA)",Madrid,28006,8,Environment,U,14210000.0,503758.23,33.26,ES300
32,2395,20181303,ted.europa.eu/udl?uri=TED:NOTICE:1303-2018:TEXT:EN:HTML,"Empresa de Transformación Agraria S.A., S.M.E., M.P., (TRAGSA)",Madrid,28006,8,Environment,U,44114000.0,242538.61,33.26,ES300
33,2437,20181317,ted.europa.eu/udl?uri=TED:NOTICE:1317-2018:TEXT:EN:HTML,Organismo Autónomo «Establecimientos Residenciales para Ancianos de Asturias»,Oviedo,33009,R,Social protection,U,30125100.0,287310.19,,ES120
34,2483,20181324,ted.europa.eu/udl?uri=TED:NOTICE:1324-2018:TEXT:EN:HTML,Gobierno de Aragón,Zaragoza,50017,3,Health,U,33651620.0,400800.0,,ES243
35,2484,20181325,ted.europa.eu/udl?uri=TED:NOTICE:1325-2018:TEXT:EN:HTML,Gobierno de Aragón,Zaragoza,50017,3,Health,U,33651600.0,2828100.0,,ES243
36,2504,20181330,ted.europa.eu/udl?uri=TED:NOTICE:1330-2018:TEXT:EN:HTML,Gobierno de Aragón,Zaragoza,50017,3,Health,U,33651600.0,624000.0,,ES243
38,2515,20181336,ted.europa.eu/udl?uri=TED:NOTICE:1336-2018:TEXT:EN:HTML,Concejalía Delegada del Área de Medio Ambiente y Sostenibilidad del Ayuntamiento de Valladolid,Valladolid,47001,3,Environment,U,38000000.0,227942.11,,ES418
40,2766,20181651,ted.europa.eu/udl?uri=TED:NOTICE:1651-2018:TEXT:EN:HTML,Junta de Castilla y León. – Consejería de Economía y Hacienda. – Secretaría General,Valladolid,47014,3,General public\services,S,79212000.0,1636000.0,,ES418
41,2779,20181655,ted.europa.eu/udl?uri=TED:NOTICE:1655-2018:TEXT:EN:HTML,Diputación Provincial de Salamanca,Salamanca,37002,3,General public\services,S,90481000.0,616624.16,,ES415
42,2785,20181661,ted.europa.eu/udl?uri=TED:NOTICE:1661-2018:TEXT:EN:HTML,"Ayuntamiento de Madrid. Área de Gobierno de Portavoz, Coordinación de la Junta de Gobierno y Relaciones con el Pleno",Madrid,28014,3,General public\services,S,92400000.0,287894.0,18.03,ES300
43,2796,20181669,ted.europa.eu/udl?uri=TED:NOTICE:1669-2018:TEXT:EN:HTML,Consejería de Familia e Igualdad de Oportunidades de la Comunidad Autónoma de la Región de Murcia,Murcia,30003,3,Social protection,S,85311300.0,2840832.0,,ES620
45,2811,20181676,ted.europa.eu/udl?uri=TED:NOTICE:1676-2018:TEXT:EN:HTML,"Extenda - Agencia Andaluza de Promoción Exterior, S. A.",Sevilla,41092,8,Other,S,72514000.0,,,ES618
47,2831,20181687,ted.europa.eu/udl?uri=TED:NOTICE:1687-2018:TEXT:EN:HTML,Ayuntamiento de Ames,Ames,15864,3,"Recreation, culture and religion",S,92620000.0,348600.0,,ES111
48,2847,20181702,ted.europa.eu/udl?uri=TED:NOTICE:1702-2018:TEXT:EN:HTML,Junta de Gobierno Lucena,Lucena,14900,3,General public\services,S,71250000.0,269640.0,,ES613
49,2968,20181751,ted.europa.eu/udl?uri=TED:NOTICE:1751-2018:TEXT:EN:HTML,Pleno del Ayuntamiento de Algemesí,Algemesí.,46680,3,General public\services,S,90511000.0,8150946.12,,ES523
50,2984,20182212,ted.europa.eu/udl?uri=TED:NOTICE:2212-2018:TEXT:EN:HTML,Presidencia de la Diputación Provincial de Zaragoza,Zaragoza,50071,3,General public\services,S,92310000.0,1452000.0,,ES243
52,3065,20182421,ted.europa.eu/udl?uri=TED:NOTICE:2421-2018:TEXT:EN:HTML,Consejería de Políticas Sociales y Familia,Madrid,28009,3,Social protection,S,85312000.0,235892350.72,48.0,ES300
53,3066,20182422,ted.europa.eu/udl?uri=TED:NOTICE:2422-2018:TEXT:EN:HTML,Consejería de Políticas Sociales y Familia,Madrid,28009,3,Social protection,S,85311000.0,85479603.6,48.0,ES300
54,3067,20182423,ted.europa.eu/udl?uri=TED:NOTICE:2423-2018:TEXT:EN:HTML,Departamento de Territorio e Infraestructuras del Consell de Mallorca,Palma de Mallorca,07010,3,General public\services,S,71317210.0,387490.72,34.0,ES532
60,3074,20182430,ted.europa.eu/udl?uri=TED:NOTICE:2430-2018:TEXT:EN:HTML,Diputación General de Aragón. Departamento de Hacienda y Administración Pública,Zaragoza,50001,3,General public\services,S,72240000.0,588720.0,12.0,ES243
62,3127,20182546,ted.europa.eu/udl?uri=TED:NOTICE:2546-2018:TEXT:EN:HTML,European Agency for Safety and Health at Work,Bilbao,E-48003,5,Other,S,73000000.0,3100000.0,,ES213
63,3167,20182590,ted.europa.eu/udl?uri=TED:NOTICE:2590-2018:TEXT:EN:HTML,The European Joint Undertaking for ITER and the development of Fusion Energy (&quot;Fusion for Energy&quot;),Barcelona,08019,8,Other,W,45210000.0,67700000.0,,ES511
64,3420,20182774,ted.europa.eu/udl?uri=TED:NOTICE:2774-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Córdoba,Córdoba,14071,3,General public\services,U,48730000.0,270000.0,,ES613
66,3560,20182788,ted.europa.eu/udl?uri=TED:NOTICE:2788-2018:TEXT:EN:HTML,Diputación Provincial de Málaga,Málaga,29004,3,General public\services,U,34100000.0,1338941.78,,ES617
67,3607,20182802,ted.europa.eu/udl?uri=TED:NOTICE:2802-2018:TEXT:EN:HTML,"Consejo de Administración de Medio Ambiente, Agua, Residuos y Energía de Cantabria S.A. (MARE S.A.)",Cartes,39311,8,Environment,U,45259200.0,500000.0,,ES130
68,3852,20182865,ted.europa.eu/udl?uri=TED:NOTICE:2865-2018:TEXT:EN:HTML,Consejería de Fomento de la Junta de Comunidades de Castilla-La Mancha,Toledo,45071,3,General public\services,U,48400000.0,1291662.24,,ES425
69,3853,20182866,ted.europa.eu/udl?uri=TED:NOTICE:2866-2018:TEXT:EN:HTML,Consejería de Hacienda,Valladolid,47007,3,Health,U,66516500.0,40000000.0,,ES418
70,3854,20182867,ted.europa.eu/udl?uri=TED:NOTICE:2867-2018:TEXT:EN:HTML,"Empresa de Transformación Agraria S.A., S.M.E., M.P., (TRAGSA)",Madrid,28006,8,Environment,U,44110000.0,1061954.38,24.05,ES300
71,4139,20183262,ted.europa.eu/udl?uri=TED:NOTICE:3262-2018:TEXT:EN:HTML,"Ayuntamiento de Madrid. Área de Gobierno de Equidad, Derechos Sociales y Empleo",Madrid,28045,3,Social protection,S,55330000.0,2207121.58,,ES300
72,4141,20183264,ted.europa.eu/udl?uri=TED:NOTICE:3264-2018:TEXT:EN:HTML,"Consejo de Administración de Sociedad Mercantil Estatal Aguas de las Cuencas de España, S.A. (ACUAES)",Madrid,28003,8,Environment,S,65130000.0,811230.14,,ES300
73,4146,20183269,ted.europa.eu/udl?uri=TED:NOTICE:3269-2018:TEXT:EN:HTML,Jefatura de Asuntos Económicos de la Guardia Civil,Madrid,28003,1,Public Order and Safety,S,66512100.0,2000000.0,,ES300
74,4147,20183270,ted.europa.eu/udl?uri=TED:NOTICE:3270-2018:TEXT:EN:HTML,Diputación Foral de Gipuzkoa,San Sebastián,20018,3,General public\services,S,72310000.0,1249560.0,,ES212
75,4153,20183273,ted.europa.eu/udl?uri=TED:NOTICE:3273-2018:TEXT:EN:HTML,Ayuntamiento de Reus,Reus,43201,3,General public\services,S,77211500.0,669392.72,,ES514
77,4219,20183311,ted.europa.eu/udl?uri=TED:NOTICE:3311-2018:TEXT:EN:HTML,"Subsecretaría de Sanidad, Servicios Sociales e Igualdad",Madrid,28014,1,General public\services,S,50324100.0,429752.08,,ES300
79,4228,20183316,ted.europa.eu/udl?uri=TED:NOTICE:3316-2018:TEXT:EN:HTML,"Ayuntamiento de Madrid, Área de Gobierno de Equidad, Derechos Sociales y Empleo",Madrid,28045,3,Social protection,S,85320000.0,3622078.72,,ES300
80,4233,20183319,ted.europa.eu/udl?uri=TED:NOTICE:3319-2018:TEXT:EN:HTML,Govern de les Illes Balears. Conselleria de Salut,Palma de Mallorca,07002 PALMA,3,Health,S,85140000.0,627682.18,,ES532
81,4238,20183324,ted.europa.eu/udl?uri=TED:NOTICE:3324-2018:TEXT:EN:HTML,Ministerio de Empleo y Seguridad Social - Secretaría de Estado de Seguridad Social - Intervención General de la Seguridad Social,Madrid,28014,1,Other,S,79212000.0,1290000.0,,ESZZZ
82,4250,20183327,ted.europa.eu/udl?uri=TED:NOTICE:3327-2018:TEXT:EN:HTML,Área Sanitaria I. Servicio de Salud del Principado de Asturias,Jarrio (Coaña),33719,R,Health,S,60000000.0,,,ES120
83,4270,20183330,ted.europa.eu/udl?uri=TED:NOTICE:3330-2018:TEXT:EN:HTML,Dirección del Instituto Español de Oceanografía,Madrid,28002,1,General public\services,S,90911200.0,960000.0,11.97,ES300
86,4345,20183334,ted.europa.eu/udl?uri=TED:NOTICE:3334-2018:TEXT:EN:HTML,Ayuntamiento de Santa Coloma de Gramenet,Santa Coloma de Gramenet,08921,3,General public\services,S,55320000.0,2843583.0,,ES511
87,4616,20183934,ted.europa.eu/udl?uri=TED:NOTICE:3934-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Torrejón de Ardoz,Torrejón de Ardoz,28850,3,General public\services,S,80500000.0,,,ES300
88,4669,20184027,ted.europa.eu/udl?uri=TED:NOTICE:4027-2018:TEXT:EN:HTML,Autoridad Portuaria de Bilbao,Santurtzi,48980,4,Port-related activities,S,50700000.0,4368135.7,,ES213
89,4689,20184104,ted.europa.eu/udl?uri=TED:NOTICE:4104-2018:TEXT:EN:HTML,Departamento de Territorio e Infraestructuras del Consell de Mallorca,Palma de Mallorca,07010,3,General public\services,W,45233140.0,7505398.76,18.0,ES532
90,4696,20184137,ted.europa.eu/udl?uri=TED:NOTICE:4137-2018:TEXT:EN:HTML,Diputació de Girona,Girona,17004,3,General public\services,U,44113610.0,649600.0,12.0,ES512
94,4705,20184145,ted.europa.eu/udl?uri=TED:NOTICE:4145-2018:TEXT:EN:HTML,"Pompièrs·Emergéncies, SL",Vielha,25530,8,Health,U,34114121.0,235123.98,8.0,ES513
96,4708,20184148,ted.europa.eu/udl?uri=TED:NOTICE:4148-2018:TEXT:EN:HTML,Ayuntamiento de Vitoria-Gasteiz,Vitoria-Gasteiz,01001,3,General public\services,U,9310000.0,10289895.0,48.0,ES211
97,4710,20184150,ted.europa.eu/udl?uri=TED:NOTICE:4150-2018:TEXT:EN:HTML,Ajuntament de Ripoll,Ripoll,17500,3,General public\services,U,34928530.0,2475848.99,152.0,ES512
99,4727,20184224,ted.europa.eu/udl?uri=TED:NOTICE:4224-2018:TEXT:EN:HTML,Consejería de Políticas Sociales y Familia,Madrid,28009,3,"General public\services,Social protection",S,85312000.0,2037750.0,24.0,ES300
100,4737,20184310,ted.europa.eu/udl?uri=TED:NOTICE:4310-2018:TEXT:EN:HTML,"Aena S.M.E, S.A.",Madrid,28042,4,Airport-related activities,W,45200000.0,9899155.07,10.0,ES511
101,4738,20184311,ted.europa.eu/udl?uri=TED:NOTICE:4311-2018:TEXT:EN:HTML,"Aena S.M.E, S.A.",Madrid,28042,4,Airport-related activities,W,45200000.0,9899155.07,10.0,ES511
102,4739,20184312,ted.europa.eu/udl?uri=TED:NOTICE:4312-2018:TEXT:EN:HTML,"Aena S.M.E, S.A.",Madrid,28042,4,Airport-related activities,W,45200000.0,34302441.11,24.0,ES511
105,5074,20184616,ted.europa.eu/udl?uri=TED:NOTICE:4616-2018:TEXT:EN:HTML,"Indesa 2010, S.L.",Vitoria-Gasteiz,01013,8,Other,U,39830000.0,1019376.67,,ES211
107,5131,20184621,ted.europa.eu/udl?uri=TED:NOTICE:4621-2018:TEXT:EN:HTML,División Económica y Técnica (Cuerpo Nacional de Policía),Madrid,28043,1,Public Order and Safety,U,18512000.0,225000.0,,ES300
108,5158,20184627,ted.europa.eu/udl?uri=TED:NOTICE:4627-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Málaga,Málaga,29016,3,General public\services,U,39522120.0,220870.56,,ES617
109,5161,20184628,ted.europa.eu/udl?uri=TED:NOTICE:4628-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Málaga,Málaga,29016,3,General public\services,U,37535200.0,322221.89,,ES617
110,5168,20184629,ted.europa.eu/udl?uri=TED:NOTICE:4629-2018:TEXT:EN:HTML,Direccion General — Osakidetza,Vitoria-Gasteiz,01006,8,Health,U,33111000.0,352000.0,,ES211
111,5318,20184659,ted.europa.eu/udl?uri=TED:NOTICE:4659-2018:TEXT:EN:HTML,Direccion General – Osakidetza,Vitoria-Gasteiz,01006,8,Health,U,33600000.0,11737600.0,,ES211
112,5447,20185058,ted.europa.eu/udl?uri=TED:NOTICE:5058-2018:TEXT:EN:HTML,Fábrica Nacional de Moneda y Timbre — Real Casa de la Moneda,Madrid,28071,6,Economical anf Financial Affairs,S,98511000.0,560000.0,,ES300
113,5490,20185088,ted.europa.eu/udl?uri=TED:NOTICE:5088-2018:TEXT:EN:HTML,Corporación Radio e Televisión de Galicia S.A.,Santiago de Compostela,15820,8,Other,S,79710000.0,450000.0,,ES111
115,5500,20185095,ted.europa.eu/udl?uri=TED:NOTICE:5095-2018:TEXT:EN:HTML,Concejalía Delegada del Área de Medio Ambiente y Sostenibilidad del Ayuntamiento de Valladolid,Valladolid,47001,3,Environment,S,90511400.0,6410796.12,,ES418
116,5504,20185099,ted.europa.eu/udl?uri=TED:NOTICE:5099-2018:TEXT:EN:HTML,Junta de Gobierno Lucena,Lucena (Córdoba),14900,3,General public\services,S,71250000.0,269640.0,,ES613
117,5509,20185103,ted.europa.eu/udl?uri=TED:NOTICE:5103-2018:TEXT:EN:HTML,"Junta de Contratación del Ministerio de Energía, Turismo y Agenda Digital",Madrid,28071,1,General public\services,S,50410000.0,2591905.92,,ES300
118,5513,20185106,ted.europa.eu/udl?uri=TED:NOTICE:5106-2018:TEXT:EN:HTML,Mancomunidad de Municipios de la Comarca de la Bañeza,Villamontán de la Valduerna (León),24766,3,General public\services,S,90511100.0,873880.68,,ES413
120,5517,20185109,ted.europa.eu/udl?uri=TED:NOTICE:5109-2018:TEXT:EN:HTML,"Euskalduna Jauregia — Palacio Euskalduna, S.A.",Bilbao,48011,3,Other,S,71310000.0,372000.0,,ES213
121,5518,20185110,ted.europa.eu/udl?uri=TED:NOTICE:5110-2018:TEXT:EN:HTML,Servicio Gallego de Salud. Estructura Organizativa de Gestión Integrada de Santiago de Compostela,Santiago de Compostela,15706,6,Health,S,90911200.0,1334380.14,,ES111
123,5530,20185121,ted.europa.eu/udl?uri=TED:NOTICE:5121-2018:TEXT:EN:HTML,Ayuntamiento de Arrasate-Mondragón,Arrasate,20500,3,General public\services,S,66515000.0,524000.0,,ES212
124,5534,20185122,ted.europa.eu/udl?uri=TED:NOTICE:5122-2018:TEXT:EN:HTML,Ayuntamiento de Zaragoza (Servicio de contratación),Zaragoza,50071,3,General public\services,S,50232000.0,16588883.2,,ES243
125,5573,20185130,ted.europa.eu/udl?uri=TED:NOTICE:5130-2018:TEXT:EN:HTML,Madrid Destino Cultura Turismo y Negocio S.A.,Madrid,28015,8,Other,S,79950000.0,268650.0,,ES300
126,5577,20185133,ted.europa.eu/udl?uri=TED:NOTICE:5133-2018:TEXT:EN:HTML,Subdirección General de Análisis Presupuestario y Gestión Financiera del Instituto de Mayores y Servicios Sociales,Madrid,28029,1,Social protection,S,90911200.0,427833.79,,ES300
128,5717,20185753,ted.europa.eu/udl?uri=TED:NOTICE:5753-2018:TEXT:EN:HTML,Dirección General de Racionalización y Centralización de la Contratación,Madrid,28014,1,General public\services,S,79710000.0,30815211.67,,ES300
129,5737,20185787,ted.europa.eu/udl?uri=TED:NOTICE:5787-2018:TEXT:EN:HTML,ADIF - Alta Velocidad,Madrid,28036,4,Railway services,U,34940000.0,459600.0,,ES300
130,5813,20185837,ted.europa.eu/udl?uri=TED:NOTICE:5837-2018:TEXT:EN:HTML,Administrador de Infraestructuras Ferroviarias,Madrid,28036,4,Railway services,S,71240000.0,2359115.79,,ES300
131,5843,20185938,ted.europa.eu/udl?uri=TED:NOTICE:5938-2018:TEXT:EN:HTML,"Serveis Comarcals Mediambientals, S.A.",Reus,43202,3,Environment,U,34928480.0,2065363.2,96.0,ES514
139,5880,20186041,ted.europa.eu/udl?uri=TED:NOTICE:6041-2018:TEXT:EN:HTML,Patronato Municipal de Deportes de Castellón de la Plana,Castellón,12003,8,Other,S,90911200.0,2627412.31,36.0,ES522
142,5886,20186047,ted.europa.eu/udl?uri=TED:NOTICE:6047-2018:TEXT:EN:HTML,"Barcelona de Serveis Municipals, S.A.",Barcelona,08015,8,"General public\services,Other",S,72330000.0,474000.0,36.0,ES511
143,5902,20186147,ted.europa.eu/udl?uri=TED:NOTICE:6147-2018:TEXT:EN:HTML,Empresa Metropolitana de Abastecimiento y Saneamiento de Aguas de Sevilla S.A. (EMASESA),Sevilla,41003,4,Water,S,77120000.0,5197500.0,24.0,ES618
145,6403,20186537,ted.europa.eu/udl?uri=TED:NOTICE:6537-2018:TEXT:EN:HTML,Gerencia del Área de Salud de Badajoz,Badajoz,06005,3,Health,U,33696800.0,1522863.85,,ES431
146,7287,20187107,ted.europa.eu/udl?uri=TED:NOTICE:7107-2018:TEXT:EN:HTML,"Dirección General de Línea Figueras Perpignan, S.A.",Llers,17730,8,General public\services,S,45112300.0,447217.23,,ES512
147,7291,20187111,ted.europa.eu/udl?uri=TED:NOTICE:7111-2018:TEXT:EN:HTML,Excmo. Cabildo Insular de Lanzarote,Arrecife de Lanzarote,35500,3,General public\services,S,71318000.0,220000.0,,ES708
148,7311,20187122,ted.europa.eu/udl?uri=TED:NOTICE:7122-2018:TEXT:EN:HTML,Excmo. Cabildo Insular de Lanzarote,Arrecife de Lanzarote,35500,3,General public\services,S,90910000.0,1401869.16,,ES708
149,7454,20187168,ted.europa.eu/udl?uri=TED:NOTICE:7168-2018:TEXT:EN:HTML,Fundación Turismo Palma de Mallorca 365,Palma,07002,8,Other,S,75125000.0,1804861.5,,ES532
150,7567,20187183,ted.europa.eu/udl?uri=TED:NOTICE:7183-2018:TEXT:EN:HTML,Ayuntamiento de Madrid - Junta Municipal de Distrito de Hortaleza,Madrid,28043,3,General public\services,S,79710000.0,1295232.75,,ES300
152,8024,20187998,ted.europa.eu/udl?uri=TED:NOTICE:7998-2018:TEXT:EN:HTML,Aena S.M.E S.A.,Madrid,28042,4,Airport-related activities,S,22000000.0,,,ES300
154,8034,20188112,ted.europa.eu/udl?uri=TED:NOTICE:8112-2018:TEXT:EN:HTML,Ajuntament de l'Hospitalet,L'Hospitalet,08901,3,General public\services,U,30200000.0,330000.0,,ES511
155,8038,20188116,ted.europa.eu/udl?uri=TED:NOTICE:8116-2018:TEXT:EN:HTML,Ajuntament de l'Hospitalet,L'Hospitalet,08901,3,General public\services,U,30200000.0,504000.0,,ES511
158,8067,20188268,ted.europa.eu/udl?uri=TED:NOTICE:8268-2018:TEXT:EN:HTML,Ajuntament de l'Hospitalet,L'Hospitalet,08901,3,General public\services,S,79341000.0,216000.0,24.0,ES511
160,8292,20188699,ted.europa.eu/udl?uri=TED:NOTICE:8699-2018:TEXT:EN:HTML,"Mutua Universal Mugenat, Mutua Colaboradora con la Seguridad Social nº 10",Barcelona,08022,8,General public\services,U,30199770.0,6559620.0,,ES511
161,8294,20188701,ted.europa.eu/udl?uri=TED:NOTICE:8701-2018:TEXT:EN:HTML,Alcaldía del Ayuntamiento de Palencia,Palencia,34001,3,General public\services,U,34928500.0,360908.81,,ES414
162,8499,20188720,ted.europa.eu/udl?uri=TED:NOTICE:8720-2018:TEXT:EN:HTML,Dirección de Recursos Económicos del Servicio Gallego de Salud,Ferrol,15405,R,Health,U,33141000.0,5996910.57,,ES111
164,8669,20188748,ted.europa.eu/udl?uri=TED:NOTICE:8748-2018:TEXT:EN:HTML,Dirección General del Instituto de Cinematografía y de las Artes Audiovisuales,Madrid,28004,1,Education,U,9123000.0,249691.2,,ES300
165,8678,20188756,ted.europa.eu/udl?uri=TED:NOTICE:8756-2018:TEXT:EN:HTML,Servicio Andaluz de Salud. Área Hospitalaria Virgen del Rocío,Sevilla,41013,3,Health,U,42416000.0,371900.83,,ES618
169,9181,20189281,ted.europa.eu/udl?uri=TED:NOTICE:9281-2018:TEXT:EN:HTML,Diputación Provincial de Salamanca,Salamanca,37002,3,General public\services,S,66510000.0,878000.0,,ES415
170,9201,20189285,ted.europa.eu/udl?uri=TED:NOTICE:9285-2018:TEXT:EN:HTML,"Centro Atlántico de Arte Moderno, S.A.U.",Las Palmas de Gran Canaria,35001,8,Other,S,90911000.0,586584.0,,ES705
171,9207,20189291,ted.europa.eu/udl?uri=TED:NOTICE:9291-2018:TEXT:EN:HTML,Universidad de Cádiz,Cádiz,11001,6,Education,S,85141200.0,320000.0,,ES612
172,9247,20189314,ted.europa.eu/udl?uri=TED:NOTICE:9314-2018:TEXT:EN:HTML,"Dirección Gerencia de Unión de Mutuas, Mutua Colaboradora con la Seguridad Social n.º 267",Castellón,12004,8,General public\services,S,64200000.0,1513383.0,,ES522
173,9249,20189315,ted.europa.eu/udl?uri=TED:NOTICE:9315-2018:TEXT:EN:HTML,Diputación Provincial de Teruel,Teruel,44071,3,General public\services,S,64200000.0,334666.68,,ES242
174,9293,20189344,ted.europa.eu/udl?uri=TED:NOTICE:9344-2018:TEXT:EN:HTML,Servicio de Salud de las Illes Balears,Palma,07003,3,Health,S,50312000.0,1741721.84,,ES532
175,9305,20189348,ted.europa.eu/udl?uri=TED:NOTICE:9348-2018:TEXT:EN:HTML,Presidencia de la Diputación Provincial de Jaén,Jaén,23071,3,General public\services,S,66510000.0,672000.0,,ES616
176,9593,201810109,ted.europa.eu/udl?uri=TED:NOTICE:10109-2018:TEXT:EN:HTML,Administrador de Infraestructuras FERROVIARIAS,Madrid,28036,4,Railway services,U,31400000.0,1412724.4,,ES300
179,9686,201810443,ted.europa.eu/udl?uri=TED:NOTICE:10443-2018:TEXT:EN:HTML,"Corporació Catalana de Mitjans Audiovisuals, S. A.",Barcelona,08017,6,Other,S,66518100.0,260000.0,48.0,ES511
